Comunidades;Provincias;Periodo;Total
Canarias;Las Palmas;2017;9,938
Canarias;Las Palmas;2016;9,411
Canarias;Las Palmas;2015;9,161
Canarias;Santa Cruz de Tenerife;2023;13,366
Canarias;Santa Cruz de Tenerife;2022;12,237
Canarias;Santa Cruz de Tenerife;2021;11,198
Canarias;Santa Cruz de Tenerife;2020;10,679
Canarias;Santa Cruz de Tenerife;2019;10,770
Canarias;Santa Cruz de Tenerife;2018;10,233
Canarias;Santa Cruz de Tenerife;2017;9,738
Canarias;Santa Cruz de Tenerife;2016;9,238
Canarias;Santa Cruz de Tenerife;2015;9,073
Canarias;Santa Cruz de Tenerife;2023;13,983
Canarias;Santa Cruz de Tenerife;2022;12,401
Canarias;Santa Cruz de Tenerife;2021;11,543
Canarias;Santa Cruz de Tenerife;2020;10,874
Canarias;Santa Cruz de Tenerife;2019;11,169
Canarias;Santa Cruz de Tenerife;2018;10,636
Canarias;Santa Cruz de Tenerife;2017;10,014
Canarias;Santa Cruz de Tenerife;2016;9,494
Canarias;Santa Cruz de Tenerife;2015;9,456
Canarias;Santa Cruz de Tenerife;2023;13,397
Canarias;Santa Cruz de Tenerife;2022;12,125
Canarias;Santa Cruz de Tenerife;2021;11,630
Canarias;Santa Cruz de Tenerife;2020;11,234
Canarias;Santa Cruz de Tenerife;2019;11,012
Canarias;Santa Cruz de Tenerife;2018;10,377
Canarias;Santa Cruz de Tenerife;2017;9,866
Canarias;Santa Cruz de Tenerife;2016;9,397
Canarias;Santa Cruz de Tenerife;2015;9,207
Canarias;Santa Cruz de Tenerife;2023;14,093
Canarias;Santa Cruz de Tenerife;2022;12,938
Canarias;Santa Cruz de Tenerife;2021;11,046
Canarias;Santa Cruz de Tenerife;2020;10,586
Canarias;Santa Cruz de Tenerife;2019;10,316
Canarias;Santa Cruz de Tenerife;2018;9,867
Canarias;Santa Cruz de Tenerife;2017;9,378
Canarias;Santa Cruz de Tenerife;2016;8,849
Canarias;Santa Cruz de Tenerife;2015;8,536
Canarias;Santa Cruz de Tenerife;2023;13,288
Canarias;Santa Cruz de Tenerife;2022;12,173
Canarias;Santa Cruz de Tenerife;2021;11,199
Canarias;Santa Cruz de Tenerife;2020;10,676
Canarias;Santa Cruz de Tenerife;2019;10,799
Canarias;Santa Cruz de Tenerife;2018;10,255
Canarias;Santa Cruz de Tenerife;2017;9,763
Canarias;Santa Cruz de Tenerife;2016;9,265
Canarias;Santa Cruz de Tenerife;2015;9,112
Cantabria;Cantabria;2023;15,043
Cantabria;Cantabria;2022;14,211
Cantabria;Cantabria;2021;13,425
Cantabria;Cantabria;2020;12,865
Cantabria;Cantabria;2019;12,852
Cantabria;Cantabria;2018;12,389
Cantabria;Cantabria;2017;11,874
Cantabria;Cantabria;2016;11,503
Cantabria;Cantabria;2015;11,229
Castilla y León;Ávila;2023;13,602
Castilla y León;Ávila;2022;12,684
Castilla y León;Ávila;2021;12,123
Castilla y León;Ávila;2020;11,577
Castilla y León;Ávila;2019;11,322
Castilla y León;Ávila;2018;10,822
Castilla y León;Ávila;2017;10,291
Castilla y León;Ávila;2016;9,925
Castilla y León;Ávila;2015;9,745
Castilla y León;Burgos;2023;15,988
Castilla y León;Burgos;2022;15,017
Castilla y León;Burgos;2021;14,357
Castilla y León;Burgos;2020;13,777
Castilla y León;Burgos;2019;13,713
Castilla y León;Burgos;2018;13,316
Castilla y León;Burgos;2017;12,701
