ccaa;provincia;anio;precio_compra_m2;precio_alquiler_m2;renta_neta_anual;renta_mensual_neta;renta_es_proyeccion;tipo_interes_hipoteca
Canarias;Las Palmas;2020;1922.25;10.4167;9818;818.1667;False;2.2333
Canarias;Las Palmas;2021;1939.4167;10.4083;10953;912.75;False;1.9904
Canarias;Las Palmas;2022;1999.5;11.5083;11629;969.0833;False;2.1038
Canarias;Las Palmas;2023;2176.9167;12.8417;12945;1078.75;False;3.2812
Canarias;Las Palmas;2024;2473;14.05;13336.7991;1111.3999;True;3.4529
Canarias;Las Palmas;2025;2753.6;14.91;13155.1076;1096.259;True;3.075
Canarias;Tenerife;2020;1807;9.2417;10874;906.1667;False;2.2333
Canarias;Tenerife;2021;1881.9167;9.1083;11199;933.25;False;1.9904
Canarias;Tenerife;2022;2046.6667;9.8333;12938;1078.1667;False;2.1038
Canarias;Tenerife;2023;2342.5;11.65;13288;1107.3333;False;3.2812
Canarias;Tenerife;2024;2771.5;13.3667;14065.4939;1172.1245;True;3.4529
Canarias;Tenerife;2025;3209.4;14.61;14038.0416;1169.8368;True;3.075
Cantabria;Cantabria;2020;1442.5833;7.6833;12865;1072.0833;False;2.2333
Cantabria;Cantabria;2021;1452.5833;8.1083;13425;1118.75;False;1.9904
Cantabria;Cantabria;2022;1476.9167;8.7333;14211;1184.25;False;2.1038
Cantabria;Cantabria;2023;1538.5833;9.55;15043;1253.5833;False;3.2812
Cantabria;Cantabria;2024;1657;10.75;15848.4154;1320.7013;True;3.4529
Cantabria;Cantabria;2025;1870.3;11.42;16696.9535;1391.4128;True;3.075
CastillaLaMancha;Albacete;2020;1077.1667;5.8667;11104;925.3333;False;2.2333
CastillaLaMancha;Albacete;2021;1069.4167;6.0417;11652;971;False;1.9904
CastillaLaMancha;Albacete;2022;1063.9167;6.2917;12305;1025.4167;False;2.1038
CastillaLaMancha;Albacete;2023;1088.3333;6.6417;13058;1088.1667;False;3.2812
CastillaLaMancha;Albacete;2024;1146.75;7.1333;13783.1025;1148.5919;True;3.4529
CastillaLaMancha;Albacete;2025;1165.9;7.7;14548.4694;1212.3725;True;3.075
CastillaLaMancha;Ciudad Real;2020;787.8333;4.9917;10570;880.8333;False;2.2333
CastillaLaMancha;Ciudad Real;2021;763.1667;5.2;11051;920.9167;False;1.9904
CastillaLaMancha;Ciudad Real;2022;758.4167;5.4417;11724;977;False;2.1038
CastillaLaMancha;Ciudad Real;2023;750.9167;5.75;12529;1044.0833;False;3.2812
CastillaLaMancha;Ciudad Real;2024;748.4167;6.1083;13260.1431;1105.0119;True;3.4529
CastillaLaMancha;Ciudad Real;2025;741.2;6.71;14033.9529;1169.4961;True;3.075
CastillaLaMancha;Cuenca;2020;763.25;4.7583;10991;915.9167;False;2.2333
CastillaLaMancha;Cuenca;2021;796.6667;5.0333;11550;962.5;False;1.9904
CastillaLaMancha;Cuenca;2022;791.9167;5.625;12022;1001.8333;False;2.1038
CastillaLaMancha;Cuenca;2023;796.5833;5.9833;12725;1060.4167;False;3.2812
CastillaLaMancha;Cuenca;2024;845.4167;6.875;13362.1056;1113.5088;True;3.4529
CastillaLaMancha;Cuenca;2025;843.7;7.22;14031.1094;1169.2591;True;3.075
CastillaLaMancha;Guadalajara;2020;1036.6667;6.3333;12624;1052;False;2.2333
CastillaLaMancha;Guadalajara;2021;1061.5833;6.7333;13149;1095.75;False;1.9904
CastillaLaMancha;Guadalajara;2022;1124.1667;6.9417;13829;1152.4167;False;2.1038
CastillaLaMancha;Guadalajara;2023;1195.5;7.5167;14689;1224.0833;False;3.2812
CastillaLaMancha;Guadalajara;2024;1272.75;8.3167;15450.3336;1287.5278;True;3.4529
CastillaLaMancha;Guadalajara;2025;1361.3;9.36;16251.1274;1354.2606;True;3.075
CastillaLaMancha;Toledo;2020;774.75;5.7417;10533;877.75;False;2.2333
CastillaLaMancha;Toledo;2021;797.5833;6.05;10998;916.5;False;1.9904
CastillaLaMancha;Toledo;2022;841.8333;6.2917;11614;967.8333;False;2.1038
CastillaLaMancha;Toledo;2023;847.4167;6.6583;12422;1035.1667;False;3.2812
CastillaLaMancha;Toledo;2024;894.6667;7.4417;13124.7886;1093.7324;True;3.4529
CastillaLaMancha;Toledo;2025;969.7;8.27;13867.3382;1155.6115;True;3.075
CastillaLeon;Burgos;2020;1171.0833;6.775;13777;1148.0833;False;2.2333
CastillaLeon;Burgos;2021;1176.4167;7.0083;14357;1196.4167;False;1.9904
CastillaLeon;Burgos;2022;1172.6667;7.2417;15017;1251.4167;False;2.1038
CastillaLeon;Burgos;2023;1191.6667;7.5333;15988;1332.3333;False;3.2812
CastillaLeon;Burgos;2024;1226.6667;8.075;16801.9481;1400.1623;True;3.4529
CastillaLeon;Burgos;2025;1212.1;8.88;17657.3342;1471.4445;True;3.075
CastillaLeon;León;2020;993.3333;5.7583;12917;1076.4167;False;2.2333
CastillaLeon;León;2021;985.75;5.8833;13400;1116.6667;False;1.9904
CastillaLeon;León;2022;988.5;6.1;14144;1178.6667;False;2.1038
CastillaLeon;León;2023;982.1667;6.3917;15110;1259.1667;False;3.2812
CastillaLeon;León;2024;993.5;6.8583;15921.9735;1326.8311;True;3.4529
CastillaLeon;León;2025;1030.9;7.6;16777.5805;1398.1317;True;3.075
CastillaLeon;Palencia;2020;1145.8333;5.7833;13153;1096.0833;False;2.2333
CastillaLeon;Palencia;2021;1131.0833;6.0917;13624;1135.3333;False;1.9904
CastillaLeon;Palencia;2022;1098.6667;6.2333;14251;1187.5833;False;2.1038
CastillaLeon;Palencia;2023;1097.5;6.3333;15147;1262.25;False;3.2812
CastillaLeon;Palencia;2024;1114.9167;6.8417;15877.6096;1323.1341;True;3.4529
CastillaLeon;Palencia;2025;1147.4;7.6;16643.4599;1386.955;True;3.075
CastillaLeon;Salamanca;2020;1304.1667;7.4083;12355;1029.5833;False;2.2333
CastillaLeon;Salamanca;2021;1308.5833;7.5083;12920;1076.6667;False;1.9904
CastillaLeon;Salamanca;2022;1299.4167;7.7417;13610;1134.1667;False;2.1038
CastillaLeon;Salamanca;2023;1321.8333;8.2583;14583;1215.25;False;3.2812
CastillaLeon;Salamanca;2024;1360.9167;8.7417;15412.4207;1284.3684;True;3.4529
CastillaLeon;Salamanca;2025;1433;9.32;16289.0155;1357.418;True;3.075
CastillaLeon;Segovia;2020;1084.75;6.85;12722;1060.1667;False;2.2333
CastillaLeon;Segovia;2021;1093.8333;7.1583;13324;1110.3333;False;1.9904
CastillaLeon;Segovia;2022;1161.5833;7.625;13956;1163;False;2.1038
CastillaLeon;Segovia;2023;1224.9167;8.3;14949;1245.75;False;3.2812
CastillaLeon;Segovia;2024;1309.75;9.7417;15775.7046;1314.6421;True;3.4529
CastillaLeon;Segovia;2025;1403.8;11.13;16648.1274;1387.3439;True;3.075
CastillaLeon;Soria;2020;1008;5.675;13889;1157.4167;False;2.2333
CastillaLeon;Soria;2021;995.8333;6.0083;14385;1198.75;False;1.9904
CastillaLeon;Soria;2022;1016.6667;6.3833;14721;1226.75;False;2.1038
CastillaLeon;Soria;2023;1078.0833;6.875;15626;1302.1667;False;3.2812
CastillaLeon;Soria;2024;1147.1667;7.575;16253.8849;1354.4904;True;3.4529
CastillaLeon;Soria;2025;1152.1;7.99;16906.9995;1408.9166;True;3.075
CastillaLeon;Valladolid;2020;1251;6.825;13490;1124.1667;False;2.2333
CastillaLeon;Valladolid;2021;1269.0833;6.8917;13987;1165.5833;False;1.9904
CastillaLeon;Valladolid;2022;1322.25;7.0833;14658;1221.5;False;2.1038
CastillaLeon;Valladolid;2023;1346.5;7.3167;15590;1299.1667;False;3.2812
CastillaLeon;Valladolid;2024;1417.8333;7.8667;16361.1762;1363.4314;True;3.4529
CastillaLeon;Valladolid;2025;1439.7;8.71;17170.4995;1430.875;True;3.075
CastillaLeon;Zamora;2020;977.25;4.9083;11737;978.0833;False;2.2333
CastillaLeon;Zamora;2021;973.8333;5.075;12292;1024.3333;False;1.9904
CastillaLeon;Zamora;2022;953.5833;5.3417;12913;1076.0833;False;2.1038
CastillaLeon;Zamora;2023;953.0833;5.6167;13897;1158.0833;False;3.2812
CastillaLeon;Zamora;2024;955;6.1333;14703.0691;1225.2558;True;3.4529
CastillaLeon;Zamora;2025;975.7;7.09;15555.8927;1296.3244;True;3.075
CastillaLeon;Ávila;2020;857.0833;5.1583;11577;964.75;False;2.2333
CastillaLeon;Ávila;2021;852.5;5.3917;12123;1010.25;False;1.9904
CastillaLeon;Ávila;2022;842.25;5.6;12684;1057;False;2.1038
CastillaLeon;Ávila;2023;870.6667;5.9667;13602;1133.5;False;3.2812
CastillaLeon;Ávila;2024;905.6667;6.725;14353.7952;1196.1496;True;3.4529
CastillaLeon;Ávila;2025;975.3;7.57;15147.1429;1262.2619;True;3.075
Cataluña;Barcelona;2020;2611.3333;14.525;14676;1223;False;2.2333
Cataluña;Barcelona;2021;2648.9167;13.5;15297;1274.75;False;1.9904
Cataluña;Barcelona;2022;2669.5833;14.4833;16105;1342.0833;False;2.1038
Cataluña;Barcelona;2023;2668.6667;16.4417;17062;1421.8333;False;3.2812
Cataluña;Barcelona;2024;2713;18.6917;17941.0191;1495.0849;True;3.4529
Cataluña;Barcelona;2025;2912.1;20.39;18865.3245;1572.1104;True;3.075
Cataluña;Girona;2020;2036.8333;9.0583;12865;1072.0833;False;2.2333
Cataluña;Girona;2021;2075.75;9.6167;13485;1123.75;False;1.9904
Cataluña;Girona;2022;2128.25;10.6333;14176;1181.3333;False;2.1038
Cataluña;Girona;2023;2228;11.6333;15130;1260.8333;False;3.2812
Cataluña;Girona;2024;2356.6667;12.8917;15970.8837;1330.907;True;3.4529
Cataluña;Girona;2025;2510.7;13.29;16858.5014;1404.8751;True;3.075
Cataluña;Lleida;2020;1201.5833;7.175;12896;1074.6667;False;2.2333
Cataluña;Lleida;2021;1240.8333;7.8583;13334;1111.1667;False;1.9904
Cataluña;Lleida;2022;1240.6667;8.1167;13865;1155.4167;False;2.1038
Cataluña;Lleida;2023;1276.6667;8.5417;14713;1226.0833;False;3.2812
Cataluña;Lleida;2024;1360.6667;9.2917;15374.8311;1281.2359;True;3.4529
Cataluña;Lleida;2025;1433.2;9.49;16066.4331;1338.8694;True;3.075
Cataluña;Tarragona;2020;1337.1667;7.375;12491;1040.9167;False;2.2333
Cataluña;Tarragona;2021;1361.75;7.5417;13086;1090.5;False;1.9904
Cataluña;Tarragona;2022;1411.9167;7.95;13673;1139.4167;False;2.1038
Cataluña;Tarragona;2023;1484.25;8.6333;14559;1213.25;False;3.2812
Cataluña;Tarragona;2024;1577.75;9.2083;15322.3315;1276.861;True;3.4529
Cataluña;Tarragona;2025;1667.6;9.7;16125.6845;1343.807;True;3.075
Ceuta;Ceuta;2020;2157.1667;10.685;12358;1029.8333;False;2.2333
Ceuta;Ceuta;2021;2084;11.0982;13030;1085.8333;False;1.9904
Ceuta;Ceuta;2022;1896.5;11.446;13673;1139.4167;False;2.1038
Ceuta;Ceuta;2023;2160.5833;11.9857;14625;1218.75;False;3.2812
Ceuta;Ceuta;2024;2270.9167;12;15470.0893;1289.1741;True;3.4529
Ceuta;Ceuta;2025;2351;13.2556;16364.0112;1363.6676;True;3.075
ComunidadDeMadrid;Madrid;2020;2724.1667;14.4083;15579;1298.25;False;2.2333
ComunidadDeMadrid;Madrid;2021;2857.1667;13.5167;16146;1345.5;False;1.9904
ComunidadDeMadrid;Madrid;2022;3010.4167;14.1083;17131;1427.5833;False;2.1038
ComunidadDeMadrid;Madrid;2023;3133;15.4667;18142;1511.8333;False;3.2812
ComunidadDeMadrid;Madrid;2024;3485.9167;17.8833;19087.9045;1590.6587;True;3.4529
ComunidadDeMadrid;Madrid;2025;4196.5;19.98;20083.1274;1673.5939;True;3.075
ComunidadValenciana;Alicante;2020;1590.4167;7.1333;10236;853;False;2.2333
ComunidadValenciana;Alicante;2021;1652.8333;7.125;10770;897.5;False;1.9904
ComunidadValenciana;Alicante;2022;1778.8333;8.0167;11378;948.1667;False;2.1038
ComunidadValenciana;Alicante;2023;1980.8333;9.35;12313;1026.0833;False;3.2812
ComunidadValenciana;Alicante;2024;2217.6667;10.5083;13096.0988;1091.3416;True;3.4529
ComunidadValenciana;Alicante;2025;2518.2;11.46;13929.0022;1160.7502;True;3.075
ComunidadValenciana;Castellón;2020;1091.0833;6.0167;12079;1006.5833;False;2.2333
ComunidadValenciana;Castellón;2021;1098;6.175;12680;1056.6667;False;1.9904
ComunidadValenciana;Castellón;2022;1126.5833;6.8083;13305;1108.75;False;2.1038
ComunidadValenciana;Castellón;2023;1182.75;7.1917;14029;1169.0833;False;3.2812
ComunidadValenciana;Castellón;2024;1266.75;7.9;14746.6377;1228.8865;True;3.4529
ComunidadValenciana;Castellón;2025;1390.8;8.53;15500.9854;1291.7488;True;3.075
ComunidadValenciana;Valencia;2020;1211;8.125;12333;1027.75;False;2.2333
ComunidadValenciana;Valencia;2021;1233.75;8.0583;12823;1068.5833;False;1.9904
