ccaa;provincia;anio;renta_neta_anual;is_projection;renta_mensual_neta
Asturias;Asturias;2022;14842;False;1236.8333
Asturias;Asturias;2023;15784;False;1315.3333
Asturias;Asturias;2024;16626.7938;True;1385.5661
Asturias;Asturias;2025;17514.5889;True;1459.5491
Baleares;Baleares;2015;11127;False;927.25
Baleares;Baleares;2016;11488;False;957.3333
Baleares;Baleares;2017;12297;False;1024.75
Baleares;Baleares;2018;12985;False;1082.0833
Baleares;Baleares;2019;13428;False;1119
Baleares;Baleares;2020;12416;False;1034.6667
Baleares;Baleares;2021;13847;False;1153.9167
Baleares;Baleares;2022;15386;False;1282.1667
Baleares;Baleares;2023;17125;False;1427.0833
Baleares;Baleares;2024;16699.6197;True;1391.635
Baleares;Baleares;2025;16930.3848;True;1410.8654
Canarias;Las Palmas;2015;9161;False;763.4167
Canarias;Las Palmas;2016;9799;False;816.5833
Canarias;Las Palmas;2017;10328;False;860.6667
Canarias;Las Palmas;2018;10112;False;842.6667
Canarias;Las Palmas;2019;11336;False;944.6667
Canarias;Las Palmas;2020;9818;False;818.1667
Canarias;Las Palmas;2021;10953;False;912.75
Canarias;Las Palmas;2022;11629;False;969.0833
Canarias;Las Palmas;2023;12945;False;1078.75
Canarias;Las Palmas;2024;13336.7991;True;1111.3999
Canarias;Las Palmas;2025;13155.1076;True;1096.259
Canarias;Tenerife;2015;9112;False;759.3333
Canarias;Tenerife;2016;9265;False;772.0833
Canarias;Tenerife;2017;10014;False;834.5
Canarias;Tenerife;2018;10636;False;886.3333
Canarias;Tenerife;2019;10770;False;897.5
Canarias;Tenerife;2020;10874;False;906.1667
Canarias;Tenerife;2021;11199;False;933.25
Canarias;Tenerife;2022;12938;False;1078.1667
Canarias;Tenerife;2023;13288;False;1107.3333
Canarias;Tenerife;2024;14065.4939;True;1172.1245
Canarias;Tenerife;2025;14038.0416;True;1169.8368
Cantabria;Cantabria;2015;11229;False;935.75
Cantabria;Cantabria;2016;11503;False;958.5833
Cantabria;Cantabria;2017;11874;False;989.5
Cantabria;Cantabria;2018;12389;False;1032.4167
Cantabria;Cantabria;2019;12852;False;1071
Cantabria;Cantabria;2020;12865;False;1072.0833
Cantabria;Cantabria;2021;13425;False;1118.75
Cantabria;Cantabria;2022;14211;False;1184.25
Cantabria;Cantabria;2023;15043;False;1253.5833
Cantabria;Cantabria;2024;15848.4154;True;1320.7013
Cantabria;Cantabria;2025;16696.9535;True;1391.4128
CastillaLaMancha;Albacete;2015;9150;False;762.5
CastillaLaMancha;Albacete;2016;9446;False;787.1667
CastillaLaMancha;Albacete;2017;9847;False;820.5833
CastillaLaMancha;Albacete;2018;10351;False;862.5833
CastillaLaMancha;Albacete;2019;10901;False;908.4167
CastillaLaMancha;Albacete;2020;11104;False;925.3333
CastillaLaMancha;Albacete;2021;11652;False;971
CastillaLaMancha;Albacete;2022;12305;False;1025.4167
CastillaLaMancha;Albacete;2023;13058;False;1088.1667
CastillaLaMancha;Albacete;2024;13783.1025;True;1148.5919
CastillaLaMancha;Albacete;2025;14548.4694;True;1212.3725
CastillaLaMancha;Ciudad Real;2015;8786;False;732.1667
CastillaLaMancha;Ciudad Real;2016;9056;False;754.6667
CastillaLaMancha;Ciudad Real;2017;9482;False;790.1667
CastillaLaMancha;Ciudad Real;2018;10001;False;833.4167
CastillaLaMancha;Ciudad Real;2019;10431;False;869.25
CastillaLaMancha;Ciudad Real;2020;10570;False;880.8333
CastillaLaMancha;Ciudad Real;2021;11051;False;920.9167
CastillaLaMancha;Ciudad Real;2022;11724;False;977
CastillaLaMancha;Ciudad Real;2023;12529;False;1044.0833
CastillaLaMancha;Ciudad Real;2024;13260.1431;True;1105.0119
CastillaLaMancha;Ciudad Real;2025;14033.9529;True;1169.4961
CastillaLaMancha;Cuenca;2015;9009;False;750.75
CastillaLaMancha;Cuenca;2016;9224;False;768.6667
CastillaLaMancha;Cuenca;2017;9722;False;810.1667
CastillaLaMancha;Cuenca;2018;10212;False;851
CastillaLaMancha;Cuenca;2019;10680;False;890
CastillaLaMancha;Cuenca;2020;10991;False;915.9167
CastillaLaMancha;Cuenca;2021;11550;False;962.5
CastillaLaMancha;Cuenca;2022;12022;False;1001.8333
CastillaLaMancha;Cuenca;2023;12725;False;1060.4167
CastillaLaMancha;Cuenca;2024;13362.1056;True;1113.5088
CastillaLaMancha;Cuenca;2025;14031.1094;True;1169.2591
CastillaLaMancha;Guadalajara;2015;11036;False;919.6667
CastillaLaMancha;Guadalajara;2016;11212;False;934.3333
CastillaLaMancha;Guadalajara;2017;11600;False;966.6667
CastillaLaMancha;Guadalajara;2018;12083;False;1006.9167
CastillaLaMancha;Guadalajara;2019;12521;False;1043.4167
CastillaLaMancha;Guadalajara;2020;12624;False;1052
CastillaLaMancha;Guadalajara;2021;13149;False;1095.75
CastillaLaMancha;Guadalajara;2022;13829;False;1152.4167
CastillaLaMancha;Guadalajara;2023;14689;False;1224.0833
CastillaLaMancha;Guadalajara;2024;15450.3336;True;1287.5278
