ccaa,provincia,anio,precio_compra_m2,precio_alquiler_m2
CastillaLeon,Segovia,2024,1309.75,9.741666666666667
CastillaLeon,Segovia,2025,1403.8,11.129999999999999
CastillaLeon,Soria,2020,1008.0,5.675
CastillaLeon,Soria,2021,995.8333333333334,6.008333333333333
CastillaLeon,Soria,2022,1016.6666666666666,6.383333333333333
CastillaLeon,Soria,2023,1078.0833333333333,6.875
CastillaLeon,Soria,2024,1147.1666666666667,7.575
CastillaLeon,Soria,2025,1152.1,7.99
CastillaLeon,Valladolid,2020,1251.0,6.825
CastillaLeon,Valladolid,2021,1269.0833333333333,6.891666666666667
CastillaLeon,Valladolid,2022,1322.25,7.083333333333333
CastillaLeon,Valladolid,2023,1346.5,7.316666666666666
CastillaLeon,Valladolid,2024,1417.8333333333333,7.866666666666666
CastillaLeon,Valladolid,2025,1439.7,8.709999999999999
CastillaLeon,Zamora,2020,977.25,4.908333333333333
CastillaLeon,Zamora,2021,973.8333333333334,5.075
CastillaLeon,Zamora,2022,953.5833333333334,5.341666666666666
CastillaLeon,Zamora,2023,953.0833333333334,5.616666666666667
CastillaLeon,Zamora,2024,955.0,6.133333333333333
CastillaLeon,Zamora,2025,975.7,7.090000000000001
CastillaLeon,Ávila,2020,857.0833333333334,5.158333333333333
CastillaLeon,Ávila,2021,852.5,5.391666666666667
CastillaLeon,Ávila,2022,842.25,5.6000000000000005
CastillaLeon,Ávila,2023,870.6666666666666,5.966666666666666
CastillaLeon,Ávila,2024,905.6666666666666,6.7250000000000005
CastillaLeon,Ávila,2025,975.3,7.57
Cataluña,Barcelona,2020,2611.3333333333335,14.525
Cataluña,Barcelona,2021,2648.9166666666665,13.5
Cataluña,Barcelona,2022,2669.5833333333335,14.483333333333334
Cataluña,Barcelona,2023,2668.6666666666665,16.441666666666666
Cataluña,Barcelona,2024,2713.0,18.691666666666666
Cataluña,Barcelona,2025,2912.1,20.39
Cataluña,Girona,2020,2036.8333333333333,9.058333333333334
Cataluña,Girona,2021,2075.75,9.616666666666667
Cataluña,Girona,2022,2128.25,10.633333333333333
Cataluña,Girona,2023,2228.0,11.633333333333333
Cataluña,Girona,2024,2356.6666666666665,12.891666666666666
Cataluña,Girona,2025,2510.7,13.290000000000001
Cataluña,Lleida,2020,1201.5833333333333,7.175
Cataluña,Lleida,2021,1240.8333333333333,7.858333333333333
Cataluña,Lleida,2022,1240.6666666666667,8.116666666666667
Cataluña,Lleida,2023,1276.6666666666667,8.541666666666666
Cataluña,Lleida,2024,1360.6666666666667,9.291666666666666
Cataluña,Lleida,2025,1433.2,9.49
Cataluña,Tarragona,2020,1337.1666666666667,7.375
Cataluña,Tarragona,2021,1361.75,7.541666666666667
Cataluña,Tarragona,2022,1411.9166666666667,7.949999999999999
Cataluña,Tarragona,2023,1484.25,8.633333333333335
Cataluña,Tarragona,2024,1577.75,9.208333333333334
Cataluña,Tarragona,2025,1667.6,9.7
Ceuta,Ceuta,2020,2157.1666666666665,
Ceuta,Ceuta,2021,2084.0,
Ceuta,Ceuta,2022,1896.5,
Ceuta,Ceuta,2023,2160.5833333333335,11.985714285714286
Ceuta,Ceuta,2024,2270.9166666666665,12.0
Ceuta,Ceuta,2025,2351.0,13.255555555555555
ComunidadDeMadrid,Madrid,2020,2724.1666666666665,14.408333333333333
ComunidadDeMadrid,Madrid,2021,2857.1666666666665,13.516666666666666
ComunidadDeMadrid,Madrid,2022,3010.4166666666665,14.108333333333334
